PassengerId,Sex,Pclass,Age,Family,Fare,Embarked,Survived
1,male,3,22,1,7.25,S,0
2,female,1,38,1,71.2833,C,1
3,female,3,26,0,7.925,S,1
4,female,1,35,1,53.1,S,1
5,male,3,35,0,8.05,S,0
6,male,3,,0,8.4583,Q,0
7,male,1,54,0,51.8625,S,0
8,male,3,2,4,21.075,S,0
9,female,3,27,2,11.1333,S,1
10,female,2,14,1,30.0708,C,1
11,female,3,4,2,16.7,S,1
12,female,1,58,0,26.55,S,1
13,male,3,20,0,8.05,S,0
14,male,3,39,6,31.275,S,0
15,female,3,14,0,7.8542,S,0
16,female,2,55,0,16,S,1
17,male,3,2,5,29.125,Q,0
18,male,2,,0,13,S,1
19,female,3,31,1,18,S,0
20,female,3,,0,7.225,C,1
21,male,2,35,0,26,S,0
22,male,2,34,0,13,S,1
23,female,3,15,0,8.0292,Q,1
24,male,1,28,0,35.5,S,1
25,female,3,8,4,21.075,S,0
26,female,3,38,6,31.3875,S,1
27,male,3,,0,7.225,C,0
28,male,1,19,5,263,S,0
29,female,3,,0,7.8792,Q,1
30,male,3,,0,7.8958,S,0
31,male,1,40,0,27.7208,C,0
32,female,1,,1,146.5208,C,1
33,female,3,,0,7.75,Q,1
34,male,2,66,0,10.5,S,0
35,male,1,28,1,82.1708,C,0
36,male,1,42,1,52,S,0
37,male,3,,0,7.2292,C,1
38,male,3,21,0,8.05,S,0
39,female,3,18,2,18,S,0
40,female,3,14,1,11.2417,C,1
41,female,3,40,1,9.475,S,0
42,female,2,27,1,21,S,0
43,male,3,,0,7.8958,C,0
44,female,2,3,3,41.5792,C,1
45,female,3,19,0,7.8792,Q,1
46,male,3,,0,8.05,S,0
47,male,3,,1,15.5,Q,0
48,female,3,,0,7.75,Q,1
49,male,3,,2,21.6792,C,0
50,female,3,18,1,17.8,S,0
51,male,3,7,5,39.6875,S,0
52,male,3,21,0,7.8,S,0
53,female,1,49,1,76.7292,C,1
54,female,2,29,1,26,S,1
55,male,1,65,1,61.9792,C,0
56,male,1,,0,35.5,S,1
57,female,2,21,0,10.5,S,1
58,male,3,28.5,0,7.2292,C,0
59,female,2,5,3,27.75,S,1
60,male,3,11,7,46.9,S,0
61,male,3,22,0,7.2292,C,0
62,female,1,38,0,80,S,1
63,male,1,45,1,83.475,S,0
64,male,3,4,5,27.9,S,0
65,male,1,,0,27.7208,C,0
66,male,3,,2,15.2458,C,1
67,female,2,29,0,10.5,S,1
68,male,3,19,0,8.1583,S,0
69,female,3,17,6,7.925,S,1
70,male,3,26,2,8.6625,S,0
71,male,2,32,0,10.5,S,0
72,female,3,16,7,46.9,S,0
73,male,2,21,0,73.5,S,0
74,male,3,26,1,14.4542,C,0
75,male,3,32,0,56.4958,S,1
76,male,3,25,0,7.65,S,0
77,male,3,,0,7.8958,S,0
